Title,Authors,Read Status,Dates Read,Moods,Star Rating,Review
House of Earth and Blood,Sarah J. Maas,read,2024/02/09-2024/03/08,,2.5,
Cat Lady,Dawn O'Porter,to-read,,,,
Funny You Should Ask,Elissa Sussman,to-read,,,,
City of Girls,Elizabeth Gilbert,read,2023/12/13-2023/12/25,reflective,2.5,
Weyward,Emilia Hart,read,2023/05/26-2023/05/31,emotional,4.5,
Out of Love,Hazel Hayes,to-read,,,,
Yellowface,R.F. Kuang,read,2023/10/12-2023/10/20,"adventurous, challenging, dark, tense",4.0,
Notes on an Execution,Danya Kukafka,to-read,,,,
None of This Is True,Lisa Jewell,currently-reading,,,,
Writers & Lovers,Lily King,to-read,,,,
The Clan of the Cave Bear,Jean M. Auel,to-read,,,,
The Housemaid,Freida McFadden,read,2023/12/09-2023/12/12,"dark, mysterious, tense",4.5,
Finding My Voice,Nadiya Hussain,,,,,

